iter	Logloss
0	0.6656387117
1	0.6382022722
2	0.6115817506
3	0.5821893175
4	0.5616724629
5	0.5414855319
6	0.520391671
7	0.5016523363
8	0.4824868392
9	0.4680810247
10	0.4563252519
11	0.4438132666
12	0.4282056506
13	0.4161412374
14	0.4054388195
15	0.3932912389
16	0.3809678804
17	0.3706381482
18	0.3615639857
19	0.3521216744
20	0.3437525198
21	0.3373806348
22	0.330227958
23	0.3236599611
24	0.3165483115
25	0.3103585068
26	0.302977408
27	0.2975054308
28	0.2919819729
29	0.2859647439
30	0.2808827488
31	0.2767701722
32	0.2718437628
33	0.2673144311
34	0.2636378602
35	0.2598306951
36	0.2557935039
37	0.2517487973
38	0.2485532078
39	0.2450607839
40	0.2417362011
41	0.2390099482
42	0.2359767335
43	0.2331399036
44	0.2304627403
45	0.2273806239
46	0.2245290763
47	0.2219415849
48	0.2198896551
49	0.2171808874
50	0.2149729955
51	0.2127495748
52	0.2111119046
53	0.2094433113
54	0.2075635757
55	0.205752515
56	0.2036861261
57	0.2023062542
58	0.2003860307
59	0.1986786029
60	0.1975979587
61	0.1963665688
62	0.1951172687
63	0.1934589296
64	0.1921295616
65	0.1907096926
66	0.1895960128
67	0.1884317734
68	0.1871051128
69	0.185860688
70	0.1847628499
71	0.1835677694
72	0.18223852
73	0.181112515
74	0.1798575033
75	0.1786477547
76	0.1776852978
77	0.1765632454
78	0.1754860648
79	0.1745628073
80	0.1736341286
81	0.1728929863
82	0.1720414941
83	0.1709411285
84	0.170084429
85	0.1693037083
86	0.1685540286
87	0.167553497
88	0.1668626424
89	0.1660440425
90	0.1651470339
91	0.1641127246
92	0.1633306401
93	0.1626186154
94	0.161779767
95	0.1610385044
96	0.1603942289
97	0.159743271
98	0.159141793
99	0.1584899398
100	0.1579207832
101	0.1574258332
102	0.1567748577
103	0.1562751616
104	0.1556355778
105	0.1550320549
106	0.1545338968
107	0.1539380202
108	0.1533305647
109	0.1526409317
110	0.152175773
111	0.151337452
112	0.1507057714
113	0.1502261144
114	0.1496252161
115	0.1492585916
116	0.1487867037
117	0.1483188951
118	0.1477838586
119	0.1472709287
120	0.1468097414
121	0.1464372684
122	0.1459069344
123	0.1454413677
124	0.1449128152
125	0.14447661
126	0.1439348964
127	0.1435454777
128	0.1431423585
129	0.1426476005
130	0.1422514243
131	0.1418142057
132	0.141301064
133	0.1408249081
134	0.1403202221
135	0.1398932128
136	0.139376644
137	0.1388970345
138	0.1384707737
139	0.1379432938
140	0.1373995287
141	0.1369845285
142	0.1365252909
143	0.1361409807
144	0.1357073726
145	0.1353102604
146	0.1348339274
147	0.134450482
148	0.1340643486
149	0.13359556
150	0.1331526118
151	0.1326188249
152	0.1322219624
153	0.1318376856
154	0.1312550019
155	0.1308378241
156	0.1304759569
157	0.1301261931
158	0.1297139256
159	0.1292392716
160	0.128884567
161	0.1284087249
162	0.1280733074
163	0.1276206706
164	0.1274191696
165	0.1271227636
166	0.126752416
167	0.1264788949
168	0.1262047311
169	0.1258498622
170	0.1255197943
171	0.1253061235
172	0.1250450911
173	0.1247837983
174	0.1245540443
175	0.1243097529
176	0.1239176395
177	0.1234741122
178	0.1231699725
179	0.1227771923
180	0.1224596429
181	0.1222293915
182	0.121869323
183	0.1215156571
184	0.1211387011
185	0.1207809666
186	0.1205072744
187	0.1202207026
188	0.1199093608
189	0.1195606685
190	0.1192625788
191	0.1190046071
192	0.1186719183
193	0.1183150428
194	0.1179813665
195	0.1176042619
196	0.1173002199
197	0.1169652989
198	0.1166452277
199	0.116421059
200	0.1162192459
201	0.1157815807
202	0.1154331041
203	0.1151699355
204	0.1148820074
205	0.1145792346
206	0.1143006031
207	0.1140006049
208	0.1138080884
209	0.1134826447
210	0.1132724918
211	0.1130356413
212	0.1128094838
213	0.112672576
214	0.1124553667
215	0.1121576743
216	0.111948084
217	0.1116956472
218	0.1113206712
219	0.1110992595
220	0.1108931543
221	0.1106874972
222	0.1105424359
223	0.1102072742
224	0.1100369831
225	0.1097277912
226	0.1093536161
227	0.1091151752
228	0.1087706488
229	0.1085103684
230	0.1083571907
231	0.1080674704
232	0.107769735
233	0.1076133644
234	0.1073853402
235	0.1071968517
236	0.1069704562
237	0.1067482957
238	0.1065083946
239	0.1063389836
240	0.1061572519
241	0.1060223893
242	0.1058744031
243	0.1056939251
244	0.1054602127
245	0.1052900853
246	0.1050164445
247	0.1048103153
248	0.1045202645
249	0.1043420416
250	0.1041652318
251	0.1040386478
252	0.1038387621
253	0.1036398993
254	0.1033966147
255	0.1032712289
256	0.1030586003
257	0.102970278
258	0.102900357
259	0.1026338284
260	0.1023960699
261	0.1022025958
262	0.1019977248
263	0.1017433168
264	0.1014821668
265	0.1013448136
266	0.1011469527
267	0.1009278111
268	0.1007866772
269	0.1004503036
270	0.1003006632
271	0.1001448362
272	0.1000275595
273	0.09979134746
274	0.09964141547
