iter	Passed	Remaining
0	205	205178
1	213	106549
2	227	75490
3	239	59603
4	249	49671
5	259	42944
6	270	38313
7	280	34752
8	289	31869
9	299	29629
10	309	27826
11	318	26215
12	326	24770
13	333	23476
14	350	22995
15	363	22331
16	373	21622
17	386	21094
18	397	20512
19	408	20037
20	419	19533
21	430	19153
22	440	18731
23	449	18299
24	458	17893
25	468	17554
26	479	17266
27	487	16938
28	495	16586
29	502	16250
30	508	15906
31	516	15610
32	523	15331
33	531	15099
34	539	14863
35	546	14639
36	553	14418
37	561	14205
38	567	13985
39	573	13766
40	581	13594
41	588	13414
42	595	13264
43	604	13130
44	614	13035
45	625	12970
46	635	12890
47	644	12791
48	654	12703
49	663	12600
50	673	12541
51	682	12450
52	692	12382
53	705	12351
54	713	12257
55	722	12183
56	732	12117
57	742	12061
58	755	12047
59	766	12007
60	775	11940
61	786	11896
62	796	11839
63	808	11830
64	819	11792
65	829	11736
66	838	11680
67	853	11703
68	870	11746
69	885	11757
70	902	11802
71	915	11799
72	933	11856
73	946	11842
74	958	11819
75	971	11811
76	984	11797
77	995	11770
78	1005	11721
79	1014	11667
80	1023	11617
81	1033	11569
82	1044	11538
83	1053	11488
84	1063	11449
85	1073	11403
86	1084	11377
87	1094	11338
88	1104	11304
89	1113	11259
90	1124	11236
91	1134	11197
92	1146	11182
93	1158	11167
94	1171	11163
95	1183	11149
96	1194	11117
97	1205	11100
98	1215	11061
99	1227	11046
100	1237	11013
101	1246	10976
102	1255	10931
103	1266	10911
104	1276	10884
105	1287	10860
106	1300	10851
107	1309	10816
108	1319	10784
109	1330	10764
110	1341	10744
111	1351	10713
112	1362	10692
113	1369	10647
114	1377	10601
115	1384	10548
116	1391	10500
117	1399	10458
118	1407	10417
119	1414	10375
120	1422	10330
121	1429	10288
122	1436	10242
123	1445	10210
124	1451	10162
125	1458	10115
126	1465	10071
127	1471	10026
128	1479	9987
129	1486	9947
130	1493	9909
131	1500	9864
132	1507	9823
133	1514	9788
134	1521	9750
135	1528	9712
136	1536	9680
137	1544	9644
138	1551	9609
139	1557	9569
140	1564	9529
141	1572	9498
142	1580	9471
143	1587	9436
144	1595	9409
145	1602	9374
146	1610	9347
147	1618	9318
148	1629	9304
149	1637	9279
150	1643	9242
151	1650	9206
152	1657	9177
153	1665	9149
154	1673	9123
155	1682	9104
156	1693	9091
157	1702	9071
158	1712	9058
159	1722	9040
160	1734	9036
161	1744	9023
162	1753	9002
163	1764	8994
164	1776	8987
165	1784	8967
166	1794	8949
167	1802	8925
168	1812	8912
169	1823	8903
170	1832	8882
171	1840	8858
172	1850	8845
173	1860	8832
174	1870	8819
175	1885	8826
176	1895	8812
177	1905	8798
178	1915	8783
179	1923	8762
180	1933	8748
181	1943	8733
182	1951	8714
183	1962	8702
184	1971	8685
185	1983	8681
186	1994	8669
187	2005	8663
188	2015	8646
189	2025	8633
190	2033	8613
191	2043	8598
192	2052	8582
